text,label
"It is indeed scary. 
I hope it helps you to find calm",0
Hey cutie  ,3
wait the sky for taehyung thread is so beautiful:(,0
will be buying as soon as the store comes back up ,3
"It’s a disgrace...We live in a virtual world, lessons could carry on at home. I’m sorry it’s so close to you please stay safe ",0
addiction sucks ,2
don’t be in a rush shorty  https://twitter.com/pattpeezy3/status/1238251796591673349 …,3
@ElNinoAfuera ain’t tell me we can rob niggas for they racks in this War Zone,4
"You're welcome
You are one of my inspiration as an artist ",0
missing the exos rn,2
drop some cheekies pics of ur bias or i'll block u,2
During for me doesn’t hit as well ,2
so so so SO me  https://twitter.com/chocsbutter/status/1237982328619556866 …,3
"HOJE É DIA DE BEBER COM OS AMIGOS
#Quarta
#VemPraAlcir

O Ponto de Encontro dos Amigos
DISK - CERVEJA: () -  em Alcir Bar https://www.instagram.com/p/B9nL_3oAuxD/?igshid=xvzq027eyx9j …",1
Yessirrrrr. Congrats bro https://twitter.com/tylerjamescook4/status/1237483284877189120 …,4
what's the address?  @PizzaToThePolls stay in line please ,0
Juice ,2
Why do I always feel like I gotta clean my whole house when I start a new goal ,1
Leave Yasmin alone,0
Acrylic on my toes really damaged them so I took them off and my nails on my toes are unspeakable but!!! HOW MUCH YALL WANNA BET THEY WILL ASK “do you want acrylic to make your toes pretty?” I do want them pretty but like damn it fucks them up more ,3
"@NCTsmtown_127
You guys are the bomb  congratulations on this swaeg comeback, yall totally kicked it! #KickItWithNCT127
#TrollingForGoodhttps://twitter.com/Trolls/status/1237800465057730560 …",0
my lacrosse season just got postponed for 3 weeks i’m sad,2
Same! ,1
Well... ,4
then we plan our funerals beforehand ,2
No one ever believes me ,3
Then send me again huff ,2
Corona Virus REALLY sucking the fun out of everything ,4
"Food for TP!  Fortunately, I have 4 bathrooms and they are all stocked up!",1
I’m the trap Selena . https://twitter.com/QUEENsleazey/status/1237424539300065280 …,0
I wanna do creative stuff again but uni has me by the neck,2
Why is Roddy Ricch so fine ?!? ,2
I want another season now the ending felt so rushed #OnMyBlock3,4
looks like a 90s sitcom ad,1
Thank you for doing this. ,3
How some insi are coming in to terms with this shit. Good time for self reflection. Take care everyone. https://twitter.com/LucDockendorf/status/1238231151862517760 …,0
He’s the love of my life  https://twitter.com/stussyjimin/status/1237394018771714054 …,3
Subir***  https://twitter.com/Mariasarraa/status/1237188442959863810 …,2
any chem oomfs  https://twitter.com/K0BRAKlDS/status/1238252567798460427 …,2
. @TomPerez is responsible for this crap ,4
Also affected ,1
These two queens!! @MelodyThomasSco and @sharonlcase!  #YRhttps://twitter.com/paisoaps/status/1237507816685998082 …,0
can I skip to the part of my life where I take care of my pets in my own house?!  https://twitter.com/louizabangalan/status/1237709695881605120 …,3
not at all i never reply to their tweets ever ,3
She spilled something on her chest and I swept in with my stain stick and fixed her right up at the WFWA retreat ,1
i would go like now but she only do appts ,4
goodnight lil one ,3
Haa! That sounds like my IG!  https://twitter.com/itsnotdarwin/status/1237527250976698368 …,1
Can you get me this for my birthday?  @lukewarm6 #WinStudio,1
Please  https://twitter.com/boredjuni/status/1237870401067220993 …,3
"i love you, thank you  ",3
I know you didn’t just diss on Megan,3
"It's time to get organized! This is about peaceful direct action! I know we're frustrated, but we win by being such a large peaceful group that the law has no reason challenge our constitutional rights to assemble!  
http://www.BernieOrVest.com  #BernieOrVest #ElectionFraudpic.twitter.com/ON0c6qL39H",0
 One day fo sho ,3
I can see that look in Embiid’s eyes ,4
Now working on some quick and small fanart for #MAR10 day,0
Can’t wait for your cover of Misty Mountains ,4
goodluck,2
i’m new this whole fan acct thing; if any of y’all have any pointers dm me pls ,3
I know... I can’t even imagine how heartbroken they must be I just hope it doesn’t affect their mental health too much ,2
I just made my midterm my bitch ,4
"That being said, jihadism is on the march in West Africa. As the saying goes - you don't negotiate with a tiger when your head is in its mouth! Better to go on the offensive now, hit them everywhere. I like my jihadis quivering in fear and ready to negotiate. ",1
@NiallOfficial I can’t wait to hear Heartbreak Weather! I’m so so proud of you!! Love you ,0
Cute,0
I’m trying to see what’s up. https://twitter.com/heluvsli_/status/1238249507130871810 …,0
DA ONLY MUTUAL I WILL EVER USE  FOR,3
Just trynna see Post Malone in concert smh.. should’ve been in Austin tonight watching ,4
King is coming ,0
Yeah unfortunately ,2
Lmao if it changes anything I’m up to episode 7 of Dynasty. I stopped watching it though. I can’t watch multiple shows,3
I mostly see the effects of climate change and years and years of bad hockey (and a few lockouts) ,2
R.I.P little nigga ,2
Why nobody warn me ,3
Not here at @CSULB ,3
When babe calls me to check up on me & my day ,0
All the cool people that I enjoyed working with left ,2
She's gonna look like that whether she gets the virus or not. It's in her DNA! ,1
same ,2
wait i was kidding  https://twitter.com/lustfilledkiss/status/1237890809153720320 …,3
I am okay,0
"Stolen from tl like the thief that I am 

drop your 7 most recently used emojis and let your oomfies judge if you’re a sub, dom, or switch",2
of course bae ‍‍‍,0
"It's not easy is it  but I'll be honest, all I care about is the title",2
I wanna have my mans baby rn ,3
I thought we’d at least have baseball in a couple of weeks but nope ,2
"are we getting lonestar bloopers..... 
 @911LoneStar",3
"I no get energy sef lol. I didn’t have any expectations this season. It’s not Jose’s team yet, if anyone says he’s a failure then sure. Whatever makes anyone sleep at night lol @leke_baba ",1
Bucks,4
This could be a great opportunity for any @ALIANewGrads in th #Brisbane area  #LibraryJobsAu @LibraryJobs_auhttps://twitter.com/libraryjobs_au/status/1237885420513320962 …,1
It’s a hamster but he’s still shocked and appalled for his brethren ,4
Mr. Champions League ,0
"watch the master's sun, voice and partners for justice ",3
"I just put a Banana cake in the oven...never made one before, but if the batter left on the beaters after scraping them is any indication...it's gonna be yummy!! ",1
 miss you too ,0
DBAKSJS it GOOD ,4
chato,2
Need that @arielxpink @MexicanSummer cycle 2 in such dire times.,2
U way u bath trouble everywhere ,4
That’s lovely Kim.  Be safe...love you ,0
Remember when a crisis used to bring Americans together?  Sad.  #WorstPresidentInHistory,0
Idk...Maybe... This could be us  pic.twitter.com/TJ0OiL4G4u,3
"Sign up to meet our team at an upcoming Career Expo and #JoinPSO! 

This event will be taking place on March 25th at the Pasco County Detention Center. Come out and learn more about our many career opportunities!

Go to http://joinpso.com/#/recruitingEvents … to sign up! Hope to see you there!pic.twitter.com/52Jyo6DnMN",1
ngl I was waiting for them to kiss  https://twitter.com/xianloves/status/1237135785645793280 …,2
"Thank you for hanging out tonight & to @cosmoquestX & @BearahTheSarah for the raids! I super duper appreciate it!

Go watch my good friends @FlyinboltsT & @AirRazorX1 who are both streaming right now 
http://twitch.tv/flyinbolts http://twitch.tv/airrazorx",1
I’d be down with that ,1
gettin a mf couch ,4
Bless you to all 15 ppl that always like my tweets/pics no matter what I post. Y’all are so kind and I’m gonna bless you when I make it to the top.,3
My therapist said my way of thinking has improved and it made me feel happy ,1
you ever like  and  at the same time,3
I've been waiting for weather betting.   https://twitter.com/hurricanetrack/status/1238245636585197568 …,1
"OF COURSE SOMETHING WOULD'VE CHANGEE, YOU SQUIRELLL .... I AM DISAPPOINTED WITH YOU  https://twitter.com/starbunny_00/status/1237507509423726593 …",4
this is a personal ATTACK i feel like how my tongue feels when I drink orange juice ,2
can I dm you and send you a really long rant? ,2
You're totally fine,1
i deleted it cause i got oomfs who prolly didn’t appreciate it my bad my bad,2
Call me by your name  https://twitter.com/Furyoz_/status/1237814571236298753 …,3
Officially over it.. we’ll see how things work out. #godspeed,4
Who gon pay for my haircut? ,3
If this ain’t you ,4
Haaland 19 is the hero,1
What a track ,0
"""Squirrel!""",1
"Prayers to his family man , shit crazy .. this shit unbelievable ",2
Of course the prettiest rings/bracelets are over 80 bucks  will probably buy one anyways but I gotta pick a real pretty one worth the money,2
Both of you are adorable! ,0
"I literally spent the last 20 minutes trying to find the fic but i failed i remember the plot very distinctly. Lwj went to Lotus Pier to learn how to make lotus rib soup, but wwx thought he went there to meet a potential wife (rumours spread by ljy lmao)",2
excerpts from my mom’s twitter  pic.twitter.com/JC1rldcTw3,0
*young ,2
"Yes, oh I ate it many times xx  I was an odd child) Remember Lux, Camay and Zest!? ",1
i told my crush when we met that i wanna be taller and after like 2 hours he goes “why do you wanna be taller?”,2
I can't look at this......  https://twitter.com/ESPNLunardi/status/1238234913599619072 …,3
stay safe out there gang  pic.twitter.com/n77nQedvEb,2
omg i didn’t know you followed me  but i just followed back because you are so cute and share the best tweets! I am happy we are moots now though so thank you,2
Perfect. ,1
Were GOING HOME DRAKE https://twitter.com/ifyouwereafo/status/1235709015260303361 …,1
"Shoot, you'll be able to get $25 a square soon!! Maybe I should invest in a bidet?",1
"Don’t take too long , we don’t got much time  https://twitter.com/trvisxx/status/1238221691907526657 …",2
I almost snorted food out . TY luv,1
Facts I love you keep being great sis,0
fourth year uni really humbled me ,3
Happy birthday heavenly momma,0
Good Hillary Supporter bit tonight  ,1
@foxnews This is one example of how your viewers thought of the show today https://twitter.com/armybratt68/status/1238241327571222528 …,2
@Saaam_20 we good  https://twitter.com/complex/status/1238166900963713024 …,1
"Morning walks with my babe, talking about our life plan and how we’re going to own our dream home and live our dream life  5, 10, 20 year goals lessssgoooooo",0
"Wait, what? People don't like pennies anymore!? ",2
I love it!  https://twitter.com/vseokies/status/1237883084294385671 …,3
Sa position ,1
Appreciate it ,4
"Okay, Robert......You're a radical lefty.

I'm delighted to say.",1
late night talk always the best ,3
Thank you dear ,0
"I LOVE RESPONDING. I Rarely Do Except ONE. What sets my heart a glow like Fire is when ONE is thrilled reading my words and LEARNING, not just thrilled because of my words. I'm not sure if that makes any sense right now while walking through Albertsons. These are my words",0
Aw man I was chilling on yt and saw my playlist of the entire @Storyscape_Game Titanic soundtrack I can’t catch a break. Too soon ,2
Im loooosssst https://twitter.com/saddestposts/status/1237211671082545152 …,2
"Please just send them back to wherever they are coming from no need to isolate them here.

What even shows that they are the only two people contacted with this virus as per the flight they took?
#COVID19https://twitter.com/moigovgh/status/1238230031446560769 …",4
Prayer said for your dad ,0
Happy birthday to my other little sister Miran aka Ronnie aka Leah aka HaeJu!  Aka Afiya’s Emo!  love you to the moon and back! Hope you enjoyed your day! pic.twitter.com/b569upzhtY,0
Thank you  https://twitter.com/4uwell/status/1237888576399892486 …,0
Love you lot  congratulations and good luck in the next rounds ,0
how are white people gonna pay to do molly at a dance festival now ,2
"I love you A
It’s not only words
May let us to be happy, to be together, in this life and in Jannah alsoya Rab May Allah give for us 11 sons and 2 daughters in sha Allah",0
felt this one  https://twitter.com/sanbenito/status/1131701330492493826 …,2
idk who you are but this is accurate and cute- also youre cute  https://twitter.com/flowrcheol/status/1237477824090574852 …,3
thinking bout her...  pic.twitter.com/466LNlqLYI,3
@Skallora Let's do it! ,0
She redeployed my homie instead of me ,2
$aundrayuhh ,3
"having fractured my wrist my advice is: dont, you're too precious to get hurt ",3
Thanks fam ,0
He popped up and read me the riot act. Then bailed,1
"Twitter: ""Cholo"" trending
Me: Cholo Love trending?! 
Also me: Oh. 
https://youtu.be/gpckAR5Bxhk 
#scarypoolparty",2
wait i was checking my downloaded music and when i first saved the story i had the album name as cg1 i . this is so stupid why am i,3
Sorry #Trump2020!!!,1
goodmorning!! i love those moots who sent me sweet messages telling that wonwoo is so proud of me! i did not asked for it but aren't them the sweetest?,3
You can express your opinion but at the same time you don’t have to be rude & disrespectful. It a learning process & it’s ok if it’s not prefect. Keep doing your thing girl ,1
@thebukuproject if u gonna cancel cancel with your chest ,4
Thanks you,0
thanks legend,2
ah vtmnc,4
"Right cause we use the media as PR people oh wait that’s Democrats get over it Trump2020, either cry or bitch but do one not both",1
Waiting for Kingdom season 2,1
The Hentai,1
Hello,0
thank u sm bby ,4
This is the hardest. Trying to explain to those left behind. ,2
Dayumn Das Amazing @AvaMax https://music.apple.com/us/album/kings-queens/1494802795?i=1494802801 …,3
"pls what?? ily but you’re being delusional  we’re happily engaged look at us

ps. i love you more  pic.twitter.com/NJyhHlE5Cp",2
I wanna go to Disneyland so bad ,3
LILI REALLY??? ,3
Irritated ,4
Okay but energy I need from somebody son  https://twitter.com/KanyeWI88/status/1237186996256342016 …,4
gabyyyyyyy,4
I LOVE UUUU   MORE AND MOREE AND MOREEEE,4
"literally me, i’m waiting for that “classes will be online and spring break is extended” email ",4
My current GM does not have a Twitter but @BaloosClues and @Moonjade36 can attest that #Bard621 is an awesome GM and frend  every session whether it lasts 3 hours or 7 hours is a blast and the time flies by,1
Yessssssssss come through @SierraMcClain @RobLowe @RonenRubinsteinhttps://twitter.com/spoilertv/status/1237468281927348225 …,0
I wish my favourite twins a happy birthday.  Have a nice day.  Greetings from Germany. @benjimadden @JoelMadden @GoodCharlotte,1
What  why,1
Articles sayin the ban for crowds no bigger than 1000 are only for the next 30 days and ateez chicago is in 38 so there's still a small chance,3
Love these guys! 󾓦 https://twitter.com/hodgetwins/status/1235371972407611392 …,1
"#posie and #thundergrace ALL THE WAY!!! 
https://m.zimbio.com/brackets/TV+Couples+March+Madness+2020 …",0
I probably gotta have a certain amount of followers to get @JaredDudley619 attention for some Tix!,4
will do ,4
So damn happy for you!!  https://twitter.com/akiyahyou/status/1237522880008617984 …,3
Still got my pictures of you tho ,1
Ffs bro,4
We don’t tolerate Dr. Sebi slander ,4
Announce Liverpool don’t win League  https://twitter.com/premierleague/status/1238233442212622339 …,1
Check out my Instagram for more skits: @juan.borbon  https://twitter.com/jborbon12_/status/1236705351732510720 …,0
hell nahhttps://twitter.com/dripfluencer/status/1237425931104518145 …,0
Love yall 5L  @ShawtyReddLive @xbreauna,0
I have decided it will be a full send ,4
"Same with me. I teach kids online in China, and saw it unfold in real time. My parents don't get it either. I think I convinced them to skip their club meeting this week but they may have been lying to make me feel better ",2
Remember this  https://twitter.com/weishenflop/status/1203092116634771457 …,3
A whole mood ,4
Harsh but fair ,1
"I shan't accept this slander, I don't remember ever being problematic ",4
U have a cute pfp sooooo,0
"I miss the Queen @I_Am_Spring_Day 
https://open.spotify.com/track/0WNGsQ1oAuHzNTk8jivBKW?si=EzJXOPQdRp2ADvpDfd2xMw …",3
"This would be mine 
https://twitter.com/LoveofGoodFood/status/1216776623401226240?s=19 …",1
finished this shitty book and I really wish I could just stop reading a lame book but my nosey ass gotta find out wtf happens ,4
A mohawk baby  she a rocker https://twitter.com/emileighsrose/status/1237756099920646144 …,3
Thank youuuu ,0
She so fucking C O L D  she never disappoints https://twitter.com/realtokyojetz/status/1236404183034626056 …,0
My boy Smalls!!https://twitter.com/roddbaxley/status/1237383512174592000 …,4
"I hear that. I’m trying to lead my students to finish making their first high school yearbook, and it’s driving me crazy. ",1
looking on the bright side if it does get p worded i’ll be able to have more time to save for merch  still gunna suck bc of the plane tix i got but its whatever,1
"Neighbors cat owning it I guess.. 
#cat #catsofinstagram #catlife #cats #catstagram https://www.instagram.com/p/B9kmRJiBTPx/?igshid=1utwfohycb5yr …",1
Me tryna figure out how these online classes and lectures gonna work  after spring breakhttps://twitter.com/mufaa6/status/1237151761606963200 …,0
I refuse to breed an ugly ,4
Stay at home  pic.twitter.com/GfD5SANPhp,1
Thank youuuuu & I will ,3
every school is closing but mine ,3
It’s a date! ,0
 still cool still cool,2
any kind if canadian wifi is so bad ,2
#CloseTheSchools yes plz the virus is gonna spread  we need to close them for safety  hurry!!!! ,1
"Now your hatred is justified. 

Sorry bro. https://twitter.com/LouieDi13/status/1237510564726833152 …",1
Matches! Matches!! Thank you Bro.  https://twitter.com/__Matches/status/1237523841594707971 …,1
thank you beautiful ,3
i wanna be in love & listen to love songs thinking about him . ,2
hyuka and abby best babies,3
They cancelled in person classes next week and every class after that will be online. Assignments are still due the same dates unless your professor emails your class and makes adjustments ,2
Share with me ,2
"Thanks, I’ll bring the T ",1
my goal is to have my resin art be as inexpensive as possible because I know my wood work is expensive. I want everyone to be able to enjoy my work ,3
Well tell them you have to go and then call me ,4
MIKE SCOTT ,4
"
Eco terrorists should be ecstatic about this virus.
It looks like it is going to kill economic activity, achieving exactly what they were trying to do anyways.",1
"Way to battle!!! TougherTogether!!! 
",4
I promised my daughter that she'd get to go out of the country again & we'd use a more reputable alternative next time because they threw salt on the disappointed wound of not going by keeping our money to boot,2
People really dont understand how genetics work sometimes we cant help it. Dont let them get you down boo ,3
"doctor just told me bitches with huge tits are 15x more likely to catch coronavirus, FUCK",2
ilysm big sis enjoy the rest of the day,0
